9.06	22.9	0.94
9.46	27.5	1.09
9.86	38.45	1.42
10.26	43.55	1.58
10.66	58.33	2.05
11.06	66.94	2.33
11.46	87.78	3
12.06	97.21	3.31
12.26	97.23	3.32
12.66	153.18	5.16
13.06	173.78	5.84
13.46	225.3	7.55
13.86	256	8.64
14.26	318.25	10.69
14.66	342.98	11.51
15.06	361.54	12.13
15.46	357.42	12
15.86	338.8	11.38
16.26	293.89	9.9
16.66	276.21	9.32
17.06	219.76	7.44
17.46	178.73	6.07
17.86	148.4	5.06
18.26	128.09	4.38
18.66	107.15	3.7
19.06	100.51	3.48
19.46	82.45	2.91
20.06	69.86	2.51
20.26	70.55	2.54
20.66	73.5	2.63
21.06	67.36	2.44
21.46	63.6	2.33
21.86	62.11	2.29
22.26	51.69	1.99
22.66	48.94	1.91
23.06	46.26	1.83
23.46	47.52	1.87
23.86	46.44	1.85
24.26	42.09	1.73
24.66	40.83	1.7
25.06	38.52	1.76
25.66	38.95	2.33
