8.2	3.79	2.5
8.3	6.32	2.5
8.4	7.64	2.5
8.5	11.05	2.5
8.6	7	2.5
8.7	6.32	2.5
8.8	10.16	2.5
8.9	10.11	2.5
9	10.31	2.5
9.1	10.17	2.5
9.2	7.89	2.5
9.3	7	2.5
9.4	6.95	2.5
9.5	7.61	2.5
9.6	9.45	2.5
9.7	10.12	2.5
9.8	11.04	2.6
9.9	12.68	2.55
10	10.8	2.54
10.1	15.87	2.56
10.2	18.44	2.52
10.3	24.17	3.16
10.4	28.07	3.27
10.5	25.27	3.75
10.6	25.52	3.51
10.7	31.2	3.81
10.8	34.69	3.66
10.9	44.59	3.86
11	34.72	3.51
11.1	40.8	3.32
11.2	39.52	3.35
11.3	39.54	3.64
11.4	42.06	3.76
11.5	44.26	3.87
11.6	44.3	5.76
11.7	56.85	6.37
11.8	63.18	4
11.9	61.2	5
12	69.47	5.75
12.1	75.79	5.05
12.2	70.14	6.29
12.3	82.23	6.32
12.4	91.2	6.76
12.5	93.72	6.28
12.6	94.73	6.68
12.7	100.73	6.18
12.8	112.23	7.59
12.9	123.1	7.24
13	133.96	6.55
13.1	160.74	5.72
13.2	161.19	7.43
13.3	170.69	6.48
13.4	182.4	7
13.5	195.74	7.69
13.6	180.16	7.1
13.7	202.06	6.27
13.8	189.46	7.73
13.9	211.74	7.1
14	202.09	7.43
14.1	227.32	6.85
14.2	213.71	7.85
14.3	246.24	8.4
14.4	245.87	8.41
14.5	259.87	9.24
14.6	272.4	9.49
14.7	248.75	9.27
14.8	265.23	8.53
14.9	267.15	8.52
15	269.8	8.27
15.1	269.19	7.8
15.2	268.58	12.12
15.3	266.68	10.28
15.4	263.42	10.8
15.5	255.73	10.24
15.6	252.63	9.44
15.7	246.28	12.05
15.8	243.15	10.23
15.9	238.53	8.88
16	235.37	9.62
16.1	231.56	9.33
16.2	227.32	10.68
16.3	224.25	11.8
16.4	217.84	13.45
16.5	214.73	11.08
16.6	212.38	10.38
16.7	205.23	11.52
16.8	199.75	12.41
16.9	195.75	13.81
17	191.44	12.91
17.1	189.36	13.86
17.2	182.42	15.13
17.3	176.79	14.19
17.4	172.26	15.67
17.5	167.39	15.83
17.6	161.04	15.82
17.7	155	15.5
17.8	148.45	17.81
17.9	142.09	18.42
18	135.98	14.53
18.1	129.43	16.45
18.2	126.32	15.86
18.3	120	18.42
18.4	117.37	15.13
18.5	114.82	15.92
18.6	113.68	20.14
18.7	113.38	17.03
18.8	112.45	17.05
18.9	112.92	15.8
19	113.03	18.9
19.1	113.75	18.55
19.2	113.47	18.61
19.3	112.26	15.95
19.4	110	17.42
19.5	108.44	19.9
19.6	104.56	17.2
19.7	94.74	15.89
19.8	93.07	18.56
19.9	91.52	18.94
20	85.29	18.93
20.1	78.95	18.65
20.2	76.51	19.19
20.3	75.26	19.26
20.4	75.47	18.95
20.5	75.82	18.87
20.6	72.75	18.68
20.7	71.54	21.03
20.8	71.45	21.65
20.9	71.39	19.15
21	71.38	19.37
21.1	71.53	20.49
21.2	72.65	19.09
21.3	73.56	21.13
21.4	74.57	22.22
21.5	75.76	22.18
21.6	79.07	22.28
21.7	76.52	22.1
21.8	77.15	22.42
21.9	79.09	21.64
22	79.26	21.9
22.1	80	22.1
22.2	79.27	21.89
22.3	78.97	22.1
22.4	76.58	19.16
22.5	75.27	21.81
22.6	70.8	21.2
22.7	69.47	23.36
22.8	68.02	22.23
22.9	66.31	20.5
23	63.43	20.54
23.1	65.93	22.65
23.2	64.47	20.76
23.3	63.14	21.5
23.4	63.32	22.06
23.5	64.08	22.12
23.6	64.55	22
23.7	66	20.17
23.8	67.89	21.16
23.9	68.19	22.22
24	68.22	21.02
24.1	66.64	22.1
24.2	65.9	22.69
24.3	65.19	23.37
24.4	63.09	22.16
24.5	60.25	22.02
24.6	60	22.1
24.7	57.36	22
24.8	59.26	22.74
24.9	60	22.18
25	59.68	22.06
25.1	58.65	22.74
25.2	60	20.44
25.3	60.65	25.23
25.4	63.03	25.17
25.5	65.27	24
25.6	65.33	23.53
25.7	65.59	24.68
25.8	66.31	24.44
25.9	66.63	26.46
26	66.96	28.42
26.1	67.31	25.54
26.2	66.61	26.85
26.3	67.67	28.52
26.4	67.57	29
26.5	66.96	30
26.6	66	26.5
26.7	65.26	23.69
26.8	65.05	25.6
