9.04        53.8        2.0         
9.17        56.2        2.0         
9.29        61.         2.          
9.42        64.7        3.0         
9.54        69.8        3.0         
9.67        74.4        3.0         
9.79        72.         4.          
9.92        91.2        4.0         
10.04       92.8        5.0         
10.17       106.6       4.0         
10.29       113.9       5.0         
10.42       124.1       5.0         
10.54       138.2       6.0         
10.67       149.6       6.0         
10.79       161.2       7.0         
10.92       168.6       7.0         
11.04       190.1       8.0         
11.17       205.6       7.0         
11.29       212.        8.          
11.42       234.1       9.0         
11.54       261.2       10.0        
11.67       270.4       10.0        
11.79       298.2       10.0        
11.92       315.2       9.0         
12.04       324.1       11.0        
12.17       337.4       11.0        
12.29       368.9       12.0        
12.42       374.7       12.0        
12.54       350.        13.         
12.67       366.4       14.0        
12.79       348.7       14.0        
12.92       350.8       13.0        
13.04       350.9       14.0        
13.17       333.2       15.0        
13.29       299.2       15.0        
13.42       300.2       16.0        
13.54       324.        16.         
13.67       281.1       16.0        
13.79       303.9       17.0        
13.92       293.2       17.0        
14.04       273.8       14.0        
14.17       284.3       15.0        
14.29       317.2       17.0        
14.42       289.3       17.0        
14.54       307.        18.         
14.67       338.1       18.0        
14.79       323.8       19.0        
14.92       323.7       17.0        
15.04       368.5       8.1         
15.17       367.7       8.1         
15.29       364.0       8.0         
15.42       393.4       10.0        
15.54       393.4       9.2         
15.67       382.4       7.8         
15.79       404.8       8.2         
15.92       430.8       9.3         
16.04       411.8       11.0        
16.17       417.3       10.9        
16.29       432.5       11.4        
16.42       419.1       9.2         
16.54       445.6       12.5        
16.67       430.2       11.3        
16.79       419.1       7.4         
16.92       400.7       9.2         
17.04       397.1       7.4         
17.17       369.6       8.2         
17.29       358.6       7.5         
17.42       352.9       8.5         
17.54       312.5       11.0        
17.67       303.3       9.9         
17.79       286.0       8.5         
17.92       294.5       11.0        
18.04       283.1       9.9         
18.17       294.4       7.4         
18.29       268.4       7.4         
18.42       248.2       7.2         
18.54       265.7       9.2         
18.67       257.4       8.2         
18.79       253.2       9.2         
18.92       191.2       7.8         
19.04       216.9       8.2         
19.17       224.3       8.6         
19.29       183.8       9.2         
19.42       204.0       7.4         
19.54       169.1       11.0        
19.67       182.0       9.3         
19.79       119.5       8.8         
19.92       212.2       9.3         
20.04       99.3        7.4         
