  6.03       10.76      3.11
  6.3        14.79      3.22
  6.56       24.21      5.96
  6.89       26.90      7.63
  7.15       36.32      4.30
  7.4        54.18      5.40
  7.66       61.83      5.17
  8.04       64.59      4.59
  8.28       65.58      5.66
  8.59       67.27      7.29
  8.76       69.96      5.18
  9.05       95.30      6.46
  9.34      107.62      4.84
  9.52      139.91      5.38
  9.79      161.14      8.07
 10.02      219.28      5.38
 10.54      344.39     13.56
 10.97      398.82      8.61
 11.49      484.30     16.45
 11.99      484.19     14.53
 12.36      446.64     10.71
 12.93      435.87     26.49
 13.45      445.67     26.59
 13.96      467.02     14.59
 14.4       441.26     21.52
 14.88      323.45     32.29
 15.4       252.19     18.83
 15.84      152.19     24.22
 16.37      172.20     26.91
 16.88      215.60     13.45
 17.83      166.82     16.14
