8.168	18.14	4.725
8.468	25.08	4.387
8.768	33.7	4.566
9.068	42.99	4.865
9.368	52.92	5.15
9.668	64.9	5.455
9.968	80.41	5.761
10.27	100.7	6.028
10.57	127.6	6.315
10.87	161.9	6.661
11.17	201.8	7
11.47	243.7	7.349
11.77	282.1	7.955
12.07	310.7	9.056
12.37	324.4	10.15
12.67	323.6	10.69
12.97	314	10.8
13.27	302.7	10.72
13.57	294.7	10.63
13.87	292.2	10.56
14.17	296.3	10.57
14.47	307.1	10.65
14.77	323.7	10.75
15.07	345	10.99
15.37	368.9	11.38
15.67	392.4	11.82
15.97	411.5	12.23
16.27	423.4	12.46
16.57	425.5	12.5
16.87	415.6	12.45
17.17	396	12.57
17.47	371.8	13.14
17.77	345.7	13.72
18.07	319.1	14.05
18.37	294.4	14.45
18.67	272.1	14.8
18.97	250.5	14.98
19.27	228.2	15.12
19.57	206.7	15.13
19.87	188.4	14.86
20.17	173.4	14.25
20.47	161.1	13.51
20.77	151.1	12.91
21.07	142.5	12.56
21.37	134.1	12.43
21.67	126.2	12.71
21.97	120.2	13.26
22.27	117.5	13.79
22.57	117.9	14.42
22.87	118.9	15
23.17	118.9	15.49
23.47	117.8	16.16
23.77	115.6	16.98
24.07	111.3	17.62
24.37	104.9	18.02
24.67	97.81	18.38
24.97	92.82	19.19
25.27	91.69	21.65
25.57	93.97	26.57
25.87	97.38	33.15
26.17	99.5	42.86
26.47	99.09	54.88
26.77	95.5	65.65
27.07	89.56	73.32
27.37	85.62	77.79
27.67	87.03	83.43
27.97	89.68	89.32
28.27	86.51	89.9
28.57	77.27	82.98
28.87	67.31	74.46
