7	5.04	7.33
7.5	10.1	4.98
8	25	4.92
8.5	34.01	4.95
9	48.45	5.05
9.5	64.09	5.14
10	82.25	5.18
10.5	116.6	5.29
11	170.17	5.33
11.5	249.86	5.37
12	333.13	9.61
12.5	367.28	13.2
13	357.18	13.28
13.5	346.18	13.37
14	359.4	13.28
14.5	395.01	13.38
15	456.71	13.39
15.5	501.96	13.36
16	494.99	13.5
16.5	453.98	13.49
17	382.06	13.5
17.5	317.47	13.54
18	263.01	13.51
18.5	234.79	13.62
19	216.81	13.73
19.5	190.37	13.67
20	180.29	13.8
20.5	154.47	13.76
21	138.92	13.73
21.5	121.22	13.85
22	113.09	15.49
22.5	103.56	15.69
23	94.19	15.78
23.5	83	15.68
24	71.8	14.85
24.5	59.86	14.04
25	66.02	13.97
25.5	56.75	14.09
26	47.47	14.03
26.5	51.14	13.69
27	57.9	8
27.5	59.36	9.67
28	57.88	9.11
28.5	50.1	8.57
29	50.29	8.53
29.5	52.31	9.05
30	39.53	9.76
30.5	30.52	10.35
31	32.96	10.88
31.5	32.84	11.13
32	30.3	11.18
32.5	35.23	11.02
33	17.29	10.59
33.5	6.44	10.08
34	21.04	9.37
34.5	8.64	8.7
35	-2.83	8.48
35.5	-3	11.96
36	2.93	11.87
36.5	3	12

